"sitename","lat","long","siteid","datasetid","age","depth","Salix","Populus","Picea"
"Crowsnest Lake",68.33333,-146.48333,513,527,4187,170,0.0263157894736842,0.00431034482758621,0.176724137931034
"Crowsnest Lake",68.33333,-146.48333,513,527,4433,180,0.0151515151515152,0,0.302040816326531
"Crowsnest Lake",68.33333,-146.48333,513,527,4680,190,0.0158730158730159,0.0090702947845805,0.233560090702948
"Crowsnest Lake",68.33333,-146.48333,513,527,4926,200,0.00865800865800866,0,0.3125
"Crowsnest Lake",68.33333,-146.48333,513,527,5172,210,0.0124113475177305,0,0.125786163522013
"Crowsnest Lake",68.33333,-146.48333,513,527,5419,220,0.0255863539445629,0,0.126344086021505
"Crowsnest Lake",68.33333,-146.48333,513,527,5665,230,0.0219435736677116,0,0.125
"Crowsnest Lake",68.33333,-146.48333,513,527,5911,240,0.0228571428571429,0.00380228136882129,0.186311787072243
"Crowsnest Lake",68.33333,-146.48333,513,527,6158,250,0.020253164556962,0,0.251552795031056
"Crowsnest Lake",68.33333,-146.48333,513,527,6363,260,0.0193370165745856,0.00373134328358209,0.212686567164179
"Crowsnest Lake",68.33333,-146.48333,513,527,6472,270,0.0259179265658747,0,0.209726443768997
"Crowsnest Lake",68.33333,-146.48333,513,527,6527,275,0.0276073619631902,0,0.172972972972973
"Crowsnest Lake",68.33333,-146.48333,513,527,6581,280,0.0099009900990099,0.00409836065573771,0.204918032786885
"Crowsnest Lake",68.33333,-146.48333,513,527,6691,290,0.0159744408945687,0.00448430493273543,0.174887892376682
"Crowsnest Lake",68.33333,-146.48333,513,527,6811,301,0.0112044817927171,0,0.220779220779221
"Crowsnest Lake",68.33333,-146.48333,513,527,6909,310,0.0142857142857143,0,0.14336917562724
"Crowsnest Lake",68.33333,-146.48333,513,527,7018,320,0.0153846153846154,0.0176991150442478,0.265486725663717
"Crowsnest Lake",68.33333,-146.48333,513,527,7128,330,0.0234113712374582,0,0.373493975903614
"Crowsnest Lake",68.33333,-146.48333,513,527,7237,340,0.020671834625323,0.00483091787439614,0.323671497584541
"Crowsnest Lake",68.33333,-146.48333,513,527,7346,350,0.027190332326284,0,0.0643939393939394
"Crowsnest Lake",68.33333,-146.48333,513,527,7423,357,0.0148305084745763,0.0238805970149254,0.295522388059701
"Crowsnest Lake",68.33333,-146.48333,513,527,7565,370,0.0133333333333333,0,0.248
"Crowsnest Lake",68.33333,-146.48333,513,527,7674,380,0.0180722891566265,0.00763358778625954,0.133587786259542
"Crowsnest Lake",68.33333,-146.48333,513,527,7783,390,0.0115273775216138,0,0.117647058823529
"Crowsnest Lake",68.33333,-146.48333,513,527,7893,400,0.0318181818181818,0,0.181818181818182
"Crowsnest Lake",68.33333,-146.48333,513,527,7958,406,0.021671826625387,0.0136986301369863,0.136986301369863
"Crowsnest Lake",68.33333,-146.48333,513,527,8057,415,0.0222222222222222,0.00515463917525773,0.0206185567010309
"Crowsnest Lake",68.33333,-146.48333,513,527,8133,422,0.0461538461538462,0,0.0833333333333333
"Crowsnest Lake",68.33333,-146.48333,513,527,8166,425,0.0219298245614035,0,0.371212121212121
"Crowsnest Lake",68.33333,-146.48333,513,527,8177,426,0.0487804878048781,0.00757575757575758,0.136363636363636
"Crowsnest Lake",68.33333,-146.48333,513,527,8220,430,0.0305882352941176,0,0.0784313725490196
"Crowsnest Lake",68.33333,-146.48333,513,527,8330,440,0.0432276657060519,0.00454545454545455,0.0409090909090909
"Crowsnest Lake",68.33333,-146.48333,513,527,8439,450,0.0334928229665072,0.0340136054421769,0.054421768707483
"Crowsnest Lake",68.33333,-146.48333,513,527,8548,460,0.0321637426900585,0,0.0386266094420601
"Crowsnest Lake",68.33333,-146.48333,513,527,8712,475,0.0165745856353591,0.00432900432900433,0.0303030303030303
"Crowsnest Lake",68.33333,-146.48333,513,527,8876,490,0.0383386581469649,0.0154639175257732,0.0721649484536083
"Crowsnest Lake",68.33333,-146.48333,513,527,9040,505,0.0581395348837209,0,0.0273972602739726
"Crowsnest Lake",68.33333,-146.48333,513,527,9165,515,0.0228013029315961,0.00775193798449612,0.0232558139534884
"Crowsnest Lake",68.33333,-146.48333,513,527,9290,525,0.0285714285714286,0,0.01
"Crowsnest Lake",68.33333,-146.48333,513,527,9415,535,0.035031847133758,0,0
"Crowsnest Lake",68.33333,-146.48333,513,527,9615,551,0.0497237569060773,0.0346320346320346,0.00432900432900433
"Crowsnest Lake",68.33333,-146.48333,513,527,9727,560,0.0461095100864553,0.0195121951219512,0.0146341463414634
"Crowsnest Lake",68.33333,-146.48333,513,527,9914,575,0.0378151260504202,0.00980392156862745,0.0196078431372549
"Crowsnest Lake",68.33333,-146.48333,513,527,10102,590,0.0124223602484472,0.00995024875621891,0
"Crowsnest Lake",68.33333,-146.48333,513,527,10226,600,0.00611620795107034,0,0.00591715976331361
"Crowsnest Lake",68.33333,-146.48333,513,527,10351,610,0.0340557275541796,0.0240384615384615,0.00480769230769231
"Crowsnest Lake",68.33333,-146.48333,513,527,10476,620,0.0166204986149584,0.00680272108843537,0.00680272108843537
"Crowsnest Lake",68.33333,-146.48333,513,527,10601,630,0.0260869565217391,0.0188679245283019,0
"Crowsnest Lake",68.33333,-146.48333,513,527,10664,635,0.0272727272727273,0,0.0099009900990099
"Crowsnest Lake",68.33333,-146.48333,513,527,10851,650,0.023696682464455,0,0.00847457627118644
"Seagull Lake",68.26667,-145.21667,2271,2352,123,3,0.0103448275862069,0,0.380952380952381
"Seagull Lake",68.26667,-145.21667,2271,2352,411,10,0.0268817204301075,0,0.230769230769231
"Seagull Lake",68.26667,-145.21667,2271,2352,616,15,0,0,0.203125
"Seagull Lake",68.26667,-145.21667,2271,2352,1233,30,0.0350877192982456,0,0.2109375
"Seagull Lake",68.26667,-145.21667,2271,2352,1438,35,0.00900900900900901,0,0.251937984496124
"Seagull Lake",68.26667,-145.21667,2271,2352,2055,50,0.0114285714285714,0,0.283582089552239
"Seagull Lake",68.26667,-145.21667,2271,2352,2436,60,0.0299625468164794,0,0.304812834224599
"Seagull Lake",68.26667,-145.21667,2271,2352,2612,65,0.0253164556962025,0,0.21259842519685
"Seagull Lake",68.26667,-145.21667,2271,2352,2964,75,0.0252100840336134,0,0.325
"Seagull Lake",68.26667,-145.21667,2271,2352,3140,80,0.02,0,0.241025641025641
"Seagull Lake",68.26667,-145.21667,2271,2352,3316,85,0.0113636363636364,0,0.231818181818182
"Seagull Lake",68.26667,-145.21667,2271,2352,3492,90,0.0188679245283019,0,0.325757575757576
"Seagull Lake",68.26667,-145.21667,2271,2352,3844,100,0.024896265560166,0,0.279411764705882
"Seagull Lake",68.26667,-145.21667,2271,2352,4020,105,0.00809716599190283,0,0.308056872037915
"Seagull Lake",68.26667,-145.21667,2271,2352,4372,115,0.00442477876106195,0,0.35
"Seagull Lake",68.26667,-145.21667,2271,2352,4548,120,0.0127659574468085,0,0.311224489795918
"Seagull Lake",68.26667,-145.21667,2271,2352,4724,125,0.0172910662824208,0,0.243816254416961
"Seagull Lake",68.26667,-145.21667,2271,2352,5076,135,0.00515463917525773,0,0.264367816091954
"Seagull Lake",68.26667,-145.21667,2271,2352,5252,140,0.0126582278481013,0,0.244444444444444
