"sitename","lat","long","siteid","datasetid","depth","Salix","Populus","Picea","calibrated_age","age"
"Crowsnest Lake",68.33333,-146.48333,513,527,70,0.0175438596491228,0,0.250847457627119,5103.5,1724
"Crowsnest Lake",68.33333,-146.48333,513,527,80,0.0337837837837838,0.00483091787439614,0.289855072463768,5218,1970
"Crowsnest Lake",68.33333,-146.48333,513,527,90,0.0123839009287926,0,0.438679245283019,5337,2217
"Crowsnest Lake",68.33333,-146.48333,513,527,100,0.0181268882175227,0.0040650406504065,0.313008130081301,5428.5,2463
"Crowsnest Lake",68.33333,-146.48333,513,527,110,0.0168539325842697,0,0.212765957446809,5530,2709
"Crowsnest Lake",68.33333,-146.48333,513,527,120,0.0190839694656489,0,0.195061728395062,5628.5,2956
"Crowsnest Lake",68.33333,-146.48333,513,527,130,0.0205128205128205,0.00763358778625954,0.366412213740458,5727.5,3202
"Crowsnest Lake",68.33333,-146.48333,513,527,140,0.0128617363344051,0.00440528634361233,0.259911894273128,5863,3448
"Crowsnest Lake",68.33333,-146.48333,513,527,150,0.0138888888888889,0.0068259385665529,0.204778156996587,5940,3695
"Crowsnest Lake",68.33333,-146.48333,513,527,160,0.0316622691292876,0.00327868852459016,0.140983606557377,6056.5,3941
"Crowsnest Lake",68.33333,-146.48333,513,527,170,0.0263157894736842,0.00431034482758621,0.176724137931034,6146.5,4187
"Crowsnest Lake",68.33333,-146.48333,513,527,180,0.0151515151515152,0,0.302040816326531,6231,4433
"Crowsnest Lake",68.33333,-146.48333,513,527,190,0.0158730158730159,0.0090702947845805,0.233560090702948,6342.5,4680
"Crowsnest Lake",68.33333,-146.48333,513,527,200,0.00865800865800866,0,0.3125,6450.5,4926
"Crowsnest Lake",68.33333,-146.48333,513,527,210,0.0124113475177305,0,0.125786163522013,6542,5172
"Crowsnest Lake",68.33333,-146.48333,513,527,220,0.0255863539445629,0,0.126344086021505,6645,5419
"Crowsnest Lake",68.33333,-146.48333,513,527,230,0.0219435736677116,0,0.125,6753.5,5665
"Crowsnest Lake",68.33333,-146.48333,513,527,240,0.0228571428571429,0.00380228136882129,0.186311787072243,6869.5,5911
"Crowsnest Lake",68.33333,-146.48333,513,527,250,0.020253164556962,0,0.251552795031056,7000,6158
"Crowsnest Lake",68.33333,-146.48333,513,527,260,0.0193370165745856,0.00373134328358209,0.212686567164179,7250,6363
"Crowsnest Lake",68.33333,-146.48333,513,527,270,0.0259179265658747,0,0.209726443768997,7376.5,6472
"Crowsnest Lake",68.33333,-146.48333,513,527,275,0.0276073619631902,0,0.172972972972973,7448.5,6527
"Crowsnest Lake",68.33333,-146.48333,513,527,280,0.0099009900990099,0.00409836065573771,0.204918032786885,7508.5,6581
"Crowsnest Lake",68.33333,-146.48333,513,527,290,0.0159744408945687,0.00448430493273543,0.174887892376682,7625.5,6691
"Crowsnest Lake",68.33333,-146.48333,513,527,301,0.0112044817927171,0,0.220779220779221,7753,6811
"Crowsnest Lake",68.33333,-146.48333,513,527,310,0.0142857142857143,0,0.14336917562724,7852.5,6909
"Crowsnest Lake",68.33333,-146.48333,513,527,320,0.0153846153846154,0.0176991150442478,0.265486725663717,7964,7018
"Crowsnest Lake",68.33333,-146.48333,513,527,330,0.0234113712374582,0,0.373493975903614,8068.5,7128
"Crowsnest Lake",68.33333,-146.48333,513,527,340,0.020671834625323,0.00483091787439614,0.323671497584541,8182.5,7237
"Crowsnest Lake",68.33333,-146.48333,513,527,350,0.027190332326284,0,0.0643939393939394,8294.5,7346
"Crowsnest Lake",68.33333,-146.48333,513,527,357,0.0148305084745763,0.0238805970149254,0.295522388059701,8372,7423
"Crowsnest Lake",68.33333,-146.48333,513,527,370,0.0133333333333333,0,0.248,8512.5,7565
"Crowsnest Lake",68.33333,-146.48333,513,527,380,0.0180722891566265,0.00763358778625954,0.133587786259542,8637.5,7674
"Crowsnest Lake",68.33333,-146.48333,513,527,390,0.0115273775216138,0,0.117647058823529,8753,7783
"Crowsnest Lake",68.33333,-146.48333,513,527,400,0.0318181818181818,0,0.181818181818182,8872,7893
"Crowsnest Lake",68.33333,-146.48333,513,527,406,0.021671826625387,0.0136986301369863,0.136986301369863,8942.5,7958
"Crowsnest Lake",68.33333,-146.48333,513,527,415,0.0222222222222222,0.00515463917525773,0.0206185567010309,9047.5,8057
"Crowsnest Lake",68.33333,-146.48333,513,527,422,0.0461538461538462,0,0.0833333333333333,9134,8133
"Crowsnest Lake",68.33333,-146.48333,513,527,425,0.0219298245614035,0,0.371212121212121,9172,8166
"Crowsnest Lake",68.33333,-146.48333,513,527,426,0.0487804878048781,0.00757575757575758,0.136363636363636,9186,8177
"Crowsnest Lake",68.33333,-146.48333,513,527,430,0.0305882352941176,0,0.0784313725490196,9230,8220
"Crowsnest Lake",68.33333,-146.48333,513,527,440,0.0432276657060519,0.00454545454545455,0.0409090909090909,9355.5,8330
"Crowsnest Lake",68.33333,-146.48333,513,527,450,0.0334928229665072,0.0340136054421769,0.054421768707483,9476.5,8439
"Crowsnest Lake",68.33333,-146.48333,513,527,460,0.0321637426900585,0,0.0386266094420601,9587.5,8548
"Crowsnest Lake",68.33333,-146.48333,513,527,475,0.0165745856353591,0.00432900432900433,0.0303030303030303,9767.5,8712
"Crowsnest Lake",68.33333,-146.48333,513,527,490,0.0383386581469649,0.0154639175257732,0.0721649484536083,9955.5,8876
"Crowsnest Lake",68.33333,-146.48333,513,527,505,0.0581395348837209,0,0.0273972602739726,10185,9040
"Crowsnest Lake",68.33333,-146.48333,513,527,515,0.0228013029315961,0.00775193798449612,0.0232558139534884,10373,9165
"Crowsnest Lake",68.33333,-146.48333,513,527,525,0.0285714285714286,0,0.01,10545,9290
"Crowsnest Lake",68.33333,-146.48333,513,527,535,0.035031847133758,0,0,10711,9415
"Crowsnest Lake",68.33333,-146.48333,513,527,551,0.0497237569060773,0.0346320346320346,0.00432900432900433,10995.5,9615
"Crowsnest Lake",68.33333,-146.48333,513,527,560,0.0461095100864553,0.0195121951219512,0.0146341463414634,11164.5,9727
"Crowsnest Lake",68.33333,-146.48333,513,527,575,0.0378151260504202,0.00980392156862745,0.0196078431372549,11422.5,9914
"Crowsnest Lake",68.33333,-146.48333,513,527,590,0.0124223602484472,0.00995024875621891,0,11677,10102
"Crowsnest Lake",68.33333,-146.48333,513,527,600,0.00611620795107034,0,0.00591715976331361,11848,10226
"Crowsnest Lake",68.33333,-146.48333,513,527,610,0.0340557275541796,0.0240384615384615,0.00480769230769231,12017.5,10351
"Crowsnest Lake",68.33333,-146.48333,513,527,620,0.0166204986149584,0.00680272108843537,0.00680272108843537,12191,10476
"Crowsnest Lake",68.33333,-146.48333,513,527,630,0.0260869565217391,0.0188679245283019,0,12490,10601
"Crowsnest Lake",68.33333,-146.48333,513,527,635,0.0272727272727273,0,0.0099009900990099,12569,10664
"Crowsnest Lake",68.33333,-146.48333,513,527,650,0.023696682464455,0,0.00847457627118644,12756,10851
"Seagull Lake",68.26667,-145.21667,2271,2352,3,0.0103448275862069,0,0.380952380952381,719,123
"Seagull Lake",68.26667,-145.21667,2271,2352,10,0.0268817204301075,0,0.230769230769231,943,411
"Seagull Lake",68.26667,-145.21667,2271,2352,15,0,0,0.203125,1104,616
"Seagull Lake",68.26667,-145.21667,2271,2352,30,0.0350877192982456,0,0.2109375,1528.5,1233
"Seagull Lake",68.26667,-145.21667,2271,2352,35,0.00900900900900901,0,0.251937984496124,1675.5,1438
"Seagull Lake",68.26667,-145.21667,2271,2352,50,0.0114285714285714,0,0.283582089552239,2093,2055
"Seagull Lake",68.26667,-145.21667,2271,2352,60,0.0299625468164794,0,0.304812834224599,2500,2436
"Seagull Lake",68.26667,-145.21667,2271,2352,65,0.0253164556962025,0,0.21259842519685,2725.5,2612
"Seagull Lake",68.26667,-145.21667,2271,2352,75,0.0252100840336134,0,0.325,3162,2964
"Seagull Lake",68.26667,-145.21667,2271,2352,80,0.02,0,0.241025641025641,3371.5,3140
"Seagull Lake",68.26667,-145.21667,2271,2352,85,0.0113636363636364,0,0.231818181818182,3582.5,3316
"Seagull Lake",68.26667,-145.21667,2271,2352,90,0.0188679245283019,0,0.325757575757576,3793,3492
"Seagull Lake",68.26667,-145.21667,2271,2352,100,0.024896265560166,0,0.279411764705882,4231.5,3844
"Seagull Lake",68.26667,-145.21667,2271,2352,105,0.00809716599190283,0,0.308056872037915,4443,4020
"Seagull Lake",68.26667,-145.21667,2271,2352,115,0.00442477876106195,0,0.35,4864,4372
"Seagull Lake",68.26667,-145.21667,2271,2352,120,0.0127659574468085,0,0.311224489795918,5084.5,4548
"Seagull Lake",68.26667,-145.21667,2271,2352,125,0.0172910662824208,0,0.243816254416961,5301.5,4724
"Seagull Lake",68.26667,-145.21667,2271,2352,135,0.00515463917525773,0,0.264367816091954,5722,5076
"Seagull Lake",68.26667,-145.21667,2271,2352,140,0.0126582278481013,0,0.244444444444444,5926.5,5252
"Seagull Lake",68.26667,-145.21667,2271,2352,145,0.00790513833992095,0.00465116279069767,0.283720930232558,6140,5428
"Seagull Lake",68.26667,-145.21667,2271,2352,155,0.0134831460674157,0,0.163316582914573,6584,5780
"Seagull Lake",68.26667,-145.21667,2271,2352,160,0.0182648401826484,0.01,0.21,7236,6355
"Seagull Lake",68.26667,-145.21667,2271,2352,165,0.0192307692307692,0.00699300699300699,0.237762237762238,7863,6930
"Seagull Lake",68.26667,-145.21667,2271,2352,170,0.0138888888888889,0,0.172413793103448,8490,7505
"Seagull Lake",68.26667,-145.21667,2271,2352,175,0.0269230769230769,0,0.379912663755459,9123,8080
"Seagull Lake",68.26667,-145.21667,2271,2352,180,0.0160771704180064,0,0.244186046511628,9758.5,8655
"Seagull Lake",68.26667,-145.21667,2271,2352,185,0.0128205128205128,0.0236220472440945,0.118110236220472,10401,9230
